id,category,image,scale,rotate_deg,offset_x_px,offset_y_px,flip_x,weight
idle_001,idle,assets/images/base/idle1.png,0.90,-2,-10,-4,0,1
idle_002,idle,assets/images/base/idle2.png,0.95,0.5,4,4,0,1
idle_003,idle,assets/images/base/idle1.png,0.98,-1.5,-4,-2,0,1
idle_004,idle,assets/images/base/idle2.png,0.94,1,10,6,0,1
idle_005,idle,assets/images/base/idle1.png,0.97,-1,2,0,0,1
idle_006,idle,assets/images/base/idle2.png,0.92,1.5,-6,-6,0,1
idle_007,idle,assets/images/base/idle1.png,0.96,-0.5,8,2,1,1
idle_008,idle,assets/images/base/idle2.png,0.90,2,0,-4,0,1
idle_009,idle,assets/images/base/idle1.png,0.95,0,-8,4,0,1
idle_010,idle,assets/images/base/idle2.png,0.98,-2,6,-2,0,1
idle_011,idle,assets/images/base/idle1.png,0.94,0.5,-2,6,0,1
idle_012,idle,assets/images/base/idle2.png,0.97,-1.5,-10,0,0,1
idle_013,idle,assets/images/base/idle1.png,0.92,1,4,-6,0,1
idle_014,idle,assets/images/base/idle2.png,0.96,-1,-4,2,1,1
idle_015,idle,assets/images/base/idle1.png,0.90,1.5,10,-4,0,1
idle_016,idle,assets/images/base/idle2.png,0.95,-0.5,2,4,0,1
idle_017,idle,assets/images/base/idle1.png,0.98,2,-6,-2,0,1
idle_018,idle,assets/images/base/idle2.png,0.94,0,8,6,0,1
idle_019,idle,assets/images/base/idle1.png,0.97,-2,0,0,0,1
idle_020,idle,assets/images/base/idle2.png,0.92,0.5,-8,-6,0,1
idle_021,idle,assets/images/base/idle1.png,0.96,-1.5,6,2,1,1
idle_022,idle,assets/images/base/idle2.png,0.90,1,-2,-4,0,1
idle_023,idle,assets/images/base/idle1.png,0.95,-1,-10,4,0,1
idle_024,idle,assets/images/base/idle2.png,0.98,1.5,4,-2,0,1
idle_025,idle,assets/images/base/idle1.png,0.94,-0.5,-4,6,0,1
idle_026,idle,assets/images/base/idle2.png,0.97,2,10,0,0,1
idle_027,idle,assets/images/base/idle1.png,0.92,0,2,-6,0,1
idle_028,idle,assets/images/base/idle2.png,0.96,-2,-6,2,1,1
idle_029,idle,assets/images/base/idle1.png,0.90,0.5,8,-4,0,1
idle_030,idle,assets/images/base/idle2.png,0.95,-1.5,0,4,0,1
idle_031,idle,assets/images/base/idle1.png,0.98,1,-8,-2,0,1
idle_032,idle,assets/images/base/idle2.png,0.94,-1,6,6,0,1
idle_033,idle,assets/images/base/idle1.png,0.97,1.5,-2,0,0,1
idle_034,idle,assets/images/base/idle2.png,0.92,-0.5,-10,-6,0,1
idle_035,idle,assets/images/base/idle1.png,0.96,2,4,2,1,1
idle_036,idle,assets/images/base/idle2.png,0.90,0,-4,-4,0,1
idle_037,idle,assets/images/base/idle1.png,0.95,-2,10,4,0,1
idle_038,idle,assets/images/base/idle2.png,0.98,0.5,2,-2,0,1
idle_039,idle,assets/images/base/idle1.png,0.94,-1.5,-6,6,0,1
idle_040,idle,assets/images/base/idle2.png,0.97,1,8,0,0,1
idle_041,idle,assets/images/base/idle1.png,0.92,-1,0,-6,0,1
idle_042,idle,assets/images/base/idle2.png,0.96,1.5,-8,2,1,1
idle_043,idle,assets/images/base/idle1.png,0.90,-0.5,6,-4,0,1
idle_044,idle,assets/images/base/idle2.png,0.95,2,-2,4,0,1
idle_045,idle,assets/images/base/idle1.png,0.98,0,-10,-2,0,1
idle_046,idle,assets/images/base/idle2.png,0.94,-2,4,6,0,1
idle_047,idle,assets/images/base/idle1.png,0.97,0.5,-4,0,0,1
idle_048,idle,assets/images/base/idle2.png,0.92,-1.5,10,-6,0,1
idle_049,idle,assets/images/base/idle1.png,0.96,1,2,2,1,1
idle_050,idle,assets/images/base/idle2.png,0.90,-1,-6,-4,0,1
idle_051,idle,assets/images/base/idle1.png,0.95,1.5,8,4,0,1
idle_052,idle,assets/images/base/idle2.png,0.98,-0.5,0,-2,0,1
idle_053,idle,assets/images/base/idle1.png,0.94,2,-8,6,0,1
idle_054,idle,assets/images/base/idle2.png,0.97,0,6,0,0,1
idle_055,idle,assets/images/base/idle1.png,0.92,-2,-2,-6,0,1
idle_056,idle,assets/images/base/idle2.png,0.96,0.5,-10,2,1,1
idle_057,idle,assets/images/base/idle1.png,0.90,-1.5,4,-4,0,1
idle_058,idle,assets/images/base/idle2.png,0.95,1,-4,4,0,1
idle_059,idle,assets/images/base/idle1.png,0.98,-1,10,-2,0,1
idle_060,idle,assets/images/base/idle2.png,0.94,1.5,2,6,0,1
idle_061,idle,assets/images/base/idle1.png,0.97,-0.5,-6,0,0,1
idle_062,idle,assets/images/base/idle2.png,0.92,2,8,-6,0,1
idle_063,idle,assets/images/base/idle1.png,0.96,0,0,2,1,1
idle_064,idle,assets/images/base/idle2.png,0.90,-2,-8,-4,0,1
idle_065,idle,assets/images/base/idle1.png,0.95,0.5,6,4,0,1
idle_066,idle,assets/images/base/idle2.png,0.98,-1.5,-2,-2,0,1
idle_067,idle,assets/images/base/idle1.png,0.94,1,-10,6,0,1
idle_068,idle,assets/images/base/idle2.png,0.97,-1,4,0,0,1
idle_069,idle,assets/images/base/idle1.png,0.92,1.5,-4,-6,0,1
idle_070,idle,assets/images/base/idle2.png,0.96,-0.5,10,2,1,1
idle_071,idle,assets/images/base/idle1.png,0.90,2,2,-4,0,1
idle_072,idle,assets/images/base/idle2.png,0.95,0,-6,4,0,1
idle_073,idle,assets/images/base/idle1.png,0.98,-2,8,-2,0,1
idle_074,idle,assets/images/base/idle2.png,0.94,0.5,0,6,0,1
idle_075,idle,assets/images/base/idle1.png,0.97,-1.5,-8,0,0,1
idle_076,idle,assets/images/base/idle2.png,0.92,1,6,-6,0,1
idle_077,idle,assets/images/base/idle1.png,0.96,-1,-2,2,1,1
idle_078,idle,assets/images/base/idle2.png,0.90,1.5,-10,-4,0,1
idle_079,idle,assets/images/base/idle1.png,0.95,-0.5,4,4,0,1
idle_080,idle,assets/images/base/idle2.png,0.98,2,-4,-2,0,1
wave_001,wave,assets/images/base/wave.png,0.90,-2,-10,-4,0,1
wave_002,wave,assets/images/base/idle1.png,0.95,0.5,4,4,0,1
wave_003,wave,assets/images/base/idle2.png,0.98,-1.5,-4,-2,0,1
wave_004,wave,assets/images/base/wave.png,0.94,1,10,6,0,1
wave_005,wave,assets/images/base/idle1.png,0.97,-1,2,0,0,1
